"time_period","ref_area","indicator","breakdown","unit_measure","value"
"2012","BE","eun_web","grade11gen","pc_schools","0.934"
"2012","BE","eun_web","grade11voc","pc_schools","1"
"2012","BE","eun_web","grade4","pc_schools","0.6239"
"2012","BE","eun_web","grade8","pc_schools","1"
"2012","BG","eun_web","grade11gen","pc_schools","0.8105"
"2012","BG","eun_web","grade11voc","pc_schools","0.8192"
"2012","CY","eun_web","grade11gen","pc_schools","0.9818"
"2012","CY","eun_web","grade11voc","pc_schools","1"
"2012","CY","eun_web","grade4","pc_schools","0.5035"
"2012","CY","eun_web","grade8","pc_schools","0.9691"
"2012","CZ","eun_web","grade11gen","pc_schools","1"
"2012","CZ","eun_web","grade11voc","pc_schools","0.9698"
"2012","CZ","eun_web","grade4","pc_schools","0.9057"
"2012","CZ","eun_web","grade8","pc_schools","0.9459"
"2012","DK","eun_web","grade11gen","pc_schools","1"
"2012","DK","eun_web","grade11voc","pc_schools","1"
"2012","DK","eun_web","grade4","pc_schools","0.9263"
"2012","DK","eun_web","grade8","pc_schools","0.9272"
"2012","EE","eun_web","grade11gen","pc_schools","0.9942"
"2012","EE","eun_web","grade11voc","pc_schools","1"
"2012","EE","eun_web","grade4","pc_schools","1"
"2012","EE","eun_web","grade8","pc_schools","0.9134"
"2012","EL","eun_web","grade11gen","pc_schools","0.6957"
"2012","EL","eun_web","grade11voc","pc_schools","0.9865"
"2012","EL","eun_web","grade4","pc_schools","0.4824"
"2012","EL","eun_web","grade8","pc_schools","0.6127"
"2012","ES","eun_web","grade11gen","pc_schools","0.9523"
"2012","ES","eun_web","grade11voc","pc_schools","0.9657"
"2012","ES","eun_web","grade4","pc_schools","0.6772"
"2012","ES","eun_web","grade8","pc_schools","0.9111"
"2012","EU","eun_web","grade11gen","pc_schools","0.9033"
"2012","EU","eun_web","grade11voc","pc_schools","0.9212"
"2012","EU","eun_web","grade4","pc_schools","0.7177"
"2012","EU","eun_web","grade8","pc_schools","0.8111"
"2012","FI","eun_web","grade11gen","pc_schools","0.9558"
"2012","FI","eun_web","grade11voc","pc_schools","0.9456"
"2012","FI","eun_web","grade4","pc_schools","0.9499"
"2012","FI","eun_web","grade8","pc_schools","0.9863"
"2012","FR","eun_web","grade11gen","pc_schools","0.8974"
"2012","FR","eun_web","grade11voc","pc_schools","0.9259"
"2012","FR","eun_web","grade4","pc_schools","0.4186"
"2012","FR","eun_web","grade8","pc_schools","0.8478"
"2012","HR","eun_web","grade11gen","pc_schools","0.9737"
"2012","HR","eun_web","grade11voc","pc_schools","0.9483"
"2012","HU","eun_web","grade11gen","pc_schools","0.9745"
"2012","HU","eun_web","grade11voc","pc_schools","0.9426"
"2012","HU","eun_web","grade4","pc_schools","0.7441"
"2012","IE","eun_web","grade11gen","pc_schools","0.9723"
"2012","IE","eun_web","grade4","pc_schools","0.7549"
"2012","IE","eun_web","grade8","pc_schools","0.8732"
"2012","IT","eun_web","grade11gen","pc_schools","0.8874"
"2012","IT","eun_web","grade11voc","pc_schools","0.9236"
"2012","IT","eun_web","grade4","pc_schools","0.8222"
"2012","IT","eun_web","grade8","pc_schools","0.8139"
"2012","LT","eun_web","grade11gen","pc_schools","0.8573"
"2012","LT","eun_web","grade11voc","pc_schools","0.928"
"2012","LT","eun_web","grade4","pc_schools","0.8612"
"2012","LT","eun_web","grade8","pc_schools","0.8058"
"2012","LU","eun_web","grade11gen","pc_schools","1"
"2012","LU","eun_web","grade11voc","pc_schools","1"
"2012","LU","eun_web","grade4","pc_schools","0.6562"
"2012","LU","eun_web","grade8","pc_schools","1"
"2012","LV","eun_web","grade11gen","pc_schools","0.7924"
"2012","LV","eun_web","grade11voc","pc_schools","0.9759"
"2012","LV","eun_web","grade4","pc_schools","0.737"
"2012","LV","eun_web","grade8","pc_schools","0.7211"
"2012","MT","eun_web","grade11gen","pc_schools","1"
"2012","MT","eun_web","grade4","pc_schools","0.5082"
"2012","MT","eun_web","grade8","pc_schools","0.9302"
"2012","NO","eun_web","grade11gen","pc_schools","1"
"2012","NO","eun_web","grade11voc","pc_schools","1"
"2012","NO","eun_web","grade4","pc_schools","0.969"
